# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
咪咕体育1,rtp://239.0.2.208:5000
咪咕体育2,rtp://239.0.2.209:5000
咪咕体育3,rtp://239.0.2.210:5000
咪咕体育4,rtp://239.0.2.211:5000
咪咕体育5,rtp://239.0.2.212:5000
咪咕体育6,rtp://239.0.2.213:5000
咪咕体育7,rtp://239.0.2.214:5000
咪咕体育8,rtp://239.0.2.215:5000
咪咕体育9,rtp://239.0.2.216:5000
咪咕体育10,rtp://239.0.2.217:5000
咪咕体育11,rtp://239.0.2.218:5000
咪咕体育12,rtp://239.0.2.219:5000
咪咕体育13,rtp://239.0.2.220:5000
咪咕体育14,rtp://239.0.2.221:5000
咪咕体育15,rtp://239.0.2.222:5000
咪咕体育16,rtp://239.0.2.223:5000
咪咕体育17,rtp://239.0.2.224:5000
咪咕体育18,rtp://239.0.2.225:5000
咪咕体育19,rtp://239.0.2.226:5000
咪咕体育20,rtp://239.0.2.227:5000
咪咕体育21,rtp://239.0.2.228:5000
咪咕体育22,rtp://239.0.2.229:5000
