Name: 赛事睛彩竞技, URL: http://192.95.29.187:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: 赛事睛彩竞技, URL: http://aiony.top:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 10464 ms, Speed: 0.56 M/s, Resolution: 1920x1080
Name: 赛事睛彩篮球, URL: http://192.95.29.187:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: 赛事睛彩篮球, URL: http://aiony.top:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 10464 ms, Speed: 0.56 M/s, Resolution: 1920x1080
Name: 赛事咪咕播01, URL: http://192.95.29.187:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: 赛事咪咕播01, URL: http://aiony.top:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 10464 ms, Speed: 0.56 M/s, Resolution: 1920x1080
Name: 赛事咪咕播02, URL: http://192.95.29.187:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: 赛事咪咕播02, URL: http://aiony.top:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 10464 ms, Speed: 0.56 M/s, Resolution: 1920x1080
Name: 赛事咪咕播03, URL: http://192.95.29.187:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
Name: 赛事咪咕播03, URL: http://aiony.top:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 10464 ms, Speed: 0.56 M/s, Resolution: 1920x1080
Name: 赛事咪咕播04, URL: http://192.95.29.187:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive, IPv_Type: ipv4, Date: None, Delay: 6209 ms, Speed: 1.44 M/s, Resolution: 1920x1080
