🕘️更新时间,#genre#
2025-05-17 16:21:11,http://sport.pendy.dpdns.org/migu/608807420

📺央视频道,#genre#
CCTV1,http://sport.pendy.dpdns.org/migu/608807420
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV1,https://smart.pendy.dpdns.org/Smart.php
CCTV2,http://222.84.234.80:4022/udp/239.81.0.115:4056
CCTV2,http://sport.pendy.dpdns.org/migu/631780532
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV2,https://smart.pendy.dpdns.org/Smart.php
CCTV3,http://59.188.94.126:35455/bptv/10000100000000050000000003870746.m3u8
CCTV3,http://222.84.234.80:4022/udp/239.81.0.231:4056
CCTV3,http://sport.pendy.dpdns.org/migu/624878271
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV3,https://smart.pendy.dpdns.org/Smart.php
CCTV4,http://222.84.234.80:4022/udp/239.81.0.96:4056
CCTV4,http://sport.pendy.dpdns.org/migu/631780421
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV4,https://smart.pendy.dpdns.org/Smart.php
CCTV5,http://222.84.234.80:4022/udp/239.81.0.232:4056
CCTV5,http://sport.pendy.dpdns.org/migu/641886683
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5,https://smart.pendy.dpdns.org/Smart.php
